台区ID,人工评分,工程ML评分,评分差异
091812e6b48a06deef56384518015709158ee14ec2,8,8,0
0940140a34ff808081563860250157093d3efa661a,10,10,0
09431215bc8a06deef56384518015709408d8c4f82,7,7,0
09431562138a06deef563845180157094090d44f8c,10,10,0
094318520d8a06deef563845180157094093bf4f96,5,5,0
09568841fdff80808153aede940154095613eb1f34,3,3,0
102320e324ff80808166f86cba016710228b8a7c75,10,10,0
1277083f1c8a06deed5b056b50015b127696ec2177,10,10,0
1351078e408a06deed64d7dfe7016513502a6f5d83,10,10,0
137921d351ff80808164d7ceef0165137817d53749,10,10,0
13947790b9ff80808164d7a612016513924b291849,10,10,0
0818408e-1a2b-4479-be8d-c157becec39c,3,3,0
126556ad-e7fa-4f83-b66f-2e5a2d8aec6e,1,1,0
