台区ID,人工评分,机器评分,评分差异,准确性,电缆段数量
14000035708672,0,1,1,准确,53
14000045218035,8,10,2,可接受,3
14000045873093,10,10,0,完美匹配,3
14000045934576,10,10,0,完美匹配,2
14000046696882,0,10,10,偏差较大,2
14000048619639,3,10,7,偏差较大,12
14000048622776,3,8,5,偏差较大,14
14000048628798,3,8,5,偏差较大,13
14000048630107,3,8,5,偏差较大,17
14000049710030,10,10,0,完美匹配,3
14000050244040,10,10,0,完美匹配,3
14000052422992,10,10,0,完美匹配,3
14000052735725,10,8,2,可接受,5
14000052809833,8,10,2,可接受,3
14000052835793,7,7,0,完美匹配,10
14000052837646,8,5,3,偏差较大,8
14000052838755,5,10,5,偏差较大,4
14000052839980,8,6,2,可接受,8
14000052840931,7,8,1,准确,6
14000052980159,8,10,2,可接受,3
14000053125246,10,10,0,完美匹配,2
14000053126279,10,5,5,偏差较大,50
14000053134566,10,10,0,完美匹配,3
14000053303850,10,10,0,完美匹配,3
14000053322588,10,10,0,完美匹配,3
14000053327144,10,10,0,完美匹配,3
14000053330348,10,10,0,完美匹配,3
14000053331377,10,10,0,完美匹配,3
14000053336224,10,10,0,完美匹配,3
14000053347009,10,10,0,完美匹配,3
14000053350278,10,10,0,完美匹配,3
14000053393600,10,10,0,完美匹配,2
14000053399565,10,10,0,完美匹配,3
14000053403463,10,10,0,完美匹配,3
14000053821205,10,10,0,完美匹配,3
14000054658376,8,10,2,可接受,3
14000054662904,8,10,2,可接受,3
14000054686706,8,10,2,可接受,3
14000054834070,10,10,0,完美匹配,2
14000054841172,10,10,0,完美匹配,2
14000054841864,10,10,0,完美匹配,3
14000055167238,10,10,0,完美匹配,3
14000056364731,10,10,0,完美匹配,3
14000056683034,10,10,0,完美匹配,3
14000056821825,10,10,0,完美匹配,3
14000056868042,10,10,0,完美匹配,3
14000059134450,9,10,1,准确,3
14000059221799,10,10,0,完美匹配,3
14000059259543,10,10,0,完美匹配,2
14000059645516,9,10,1,准确,17
14000059648477,8,10,2,可接受,14
14000059675208,8,10,2,可接受,3
14000059712095,10,10,0,完美匹配,4
14000060229359,10,7,3,偏差较大,3
14000060274595,8,10,2,可接受,3
14000060690700,10,10,0,完美匹配,3
14000060774219,10,10,0,完美匹配,3
14000060792632,10,10,0,完美匹配,3
