ID,电缆段,档距段
14000035708672,5,3
14000045218035,10,2
14000045873093,10,1
14000045934576,10,1
14000046696882,9,2
14000048619639,0,3
14000048622776,3,3
14000048628798,0,3
14000048630107,5,3
14000049710030,9,2
14000050244040,9,2
14000052422992,10,1
14000052735725,9,3
14000052809833,10,1
14000052835793,9,3
14000052837646,7,2
14000052838755,10,1
14000052839980,7,2
14000052840931,9,3
14000052980159,10,2
14000053125246,10,2
14000053126279,5,3
14000053134566,10,1
14000053303850,10,1
14000053322588,10,1
14000053327144,10,2
14000053330348,10,1
14000053331377,10,2
14000053336224,10,2
14000053347009,5,1
14000053350278,9,1
14000053393600,10,2
14000053399565,9,2
14000053403463,9,1
14000053821205,10,2
14000054658376,9,1
14000054662904,9,2
14000054686706,0,2
14000054834070,10,2
14000054841172,10,2
14000054841864,10,2
14000055056749,0,3
14000055167238,7,2
14000055566957,9,3
14000055568815,0,3
14000055571183,2,3
14000055574028,5,3
14000055574684,5,3
14000056364731,7,1
14000056683034,9,1
14000056821825,10,2
14000056868042,10,2
14000059134450,10,1
14000059221799,10,1
14000059259543,10,2
14000059645516,2,3
14000059648477,1,3
14000059675208,10,2
14000059712095,6,2
14000060229359,10,1
14000060274595,10,1
14000060690700,10,2
14000060774219,10,2
14000060792632,10,2
